pmProductId,description
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000082,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000083,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000084,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000085,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000086,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000087,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000088,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000089,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000090,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000091,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000092,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000093,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000094,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000095,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['2G재난뉴실버요금제단말'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000096,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['LTE단말2'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000097,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['LTE단말2'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000098,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['LTE단말2'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000099,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['LTE단말2'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000100,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['LTE단말'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000101,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['LTE단말'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000102,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000103,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000104,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000105,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000106,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
PA00000107,"label: 가능 또는 불가능 단말유형,	description: (단말 조건 기준이 단말 유형인 경우로 설정한 단말 유형에 가입 가능 또는 불가능한 것으로 판단함. 단말 유형은 단말 모델의 속성을 기준으로 단말을 분류한 정보로 SK텔레콤 내부 관리 정보에 해당함. 단말 유형은 예를 들어, 스마트폰, 2nd Device 등이 존재함),	value: (['스마트폰 단말기 유형'] 가입 가능)
label: 상품을 가입할 이동전화 이용종류,	description: (상품 가입 가능 여부 판단할 경우, 이동전화의 서비스 유형을 기준으로 삼는 것을 의미하며, 이동전화, PPS, 개인택시공중전화 등이 이에 해당함. ALL인 경우, 서비스유형에 관계없이 모두 가입 가능 또는 불가능함을 의미함. ),	value: ({'일반', '시험용', '선불I/B로밍SIM', '사업용', '단기임대', '단말기대여', '자동임대로밍', 'Nate Drive', 'I/B SIM렌탈', 'I/B 임대로밍', '공중전화', '텔레매틱스', 'I/B 자동로밍', 'I/B 모뎀렌탈', 'GSM렌탈로밍', 'I/B 일반렌탈'} 가입 가능)"
